name,ral,rgb_r,rgb_g,rgb_b,rgb_rgb,hex,brightness,cmyk_c,cmyk_m,cmyk_y,cmyk_k,cmyk_cmyk,hsl_h,hsl_s,hsl_l,hsl_hsl
Grey white,9002,240,237,230,"240, 237, 230",F0EDE6,0.94,0,1,4,6,"0, 1, 4, 6",42,25,92,"42, 25%, 92%"
Green beige,1000,204,204,153,"204, 204, 153",CCCC99,0.80,0,0,25,20,"0, 0, 25, 20",60,33,70,"60, 33%, 70%"
Beige,1001,210,170,90,"210, 170, 90",D2AA5A,0.82,0,19,57,18,"0, 19, 57, 18",40,57,59,"40, 57%, 59%"
Sand yellow,1002,208,168,24,"208, 168, 24",D0A818,0.82,0,19,88,18,"0, 19, 88, 18",47,79,45,"47, 79%, 45%"
Signal yellow,1003,255,204,0,"255, 204, 0",FFCC00,1.00,0,20,100,0,"0, 20, 100, 0",48,100,50,"48, 100%, 50%"
Golden yellow,1004,224,176,0,"224, 176, 0",E0B000,0.88,0,21,100,12,"0, 21, 100, 12",47,100,44,"47, 100%, 44%"
Honey yellow,1005,201,135,33,"201, 135, 33",C98721,0.79,0,33,84,21,"0, 33, 84, 21",36,72,46,"36, 72%, 46%"
Maize yellow,1006,227,167,41,"227, 167, 41",E3A729,0.89,0,26,82,11,"0, 26, 82, 11",41,77,53,"41, 77%, 53%"
Daffodil yellow,1007,221,159,35,"221, 159, 35",DD9F23,0.87,0,28,84,13,"0, 28, 84, 13",40,73,50,"40, 73%, 50%"
Brown beige,1011,173,122,41,"173, 122, 41",AD7A29,0.68,0,29,76,32,"0, 29, 76, 32",37,62,42,"37, 62%, 42%"
Lemon yellow,1012,227,184,56,"227, 184, 56",E3B838,0.89,0,19,75,11,"0, 19, 75, 11",45,75,55,"45, 75%, 55%"
Oyster white,1013,255,245,227,"255, 245, 227",FFF5E3,1.00,0,4,11,0,"0, 4, 11, 0",39,100,95,"39, 100%, 95%"
Ivory,1014,240,214,171,"240, 214, 171",F0D6AB,0.94,0,11,29,6,"0, 11, 29, 6",37,70,81,"37, 70%, 81%"
Light ivory,1015,252,235,204,"252, 235, 204",FCEBCC,0.99,0,7,19,1,"0, 7, 19, 1",39,89,89,"39, 89%, 89%"
Sulfur yellow,1016,255,245,66,"255, 245, 66",FFF542,1.00,0,4,74,0,"0, 4, 74, 0",57,100,63,"57, 100%, 63%"
Saffron yellow,1017,255,171,89,"255, 171, 89",FFAB59,1.00,0,33,65,0,"0, 33, 65, 0",30,100,67,"30, 100%, 67%"
Zinc yellow,1018,255,214,77,"255, 214, 77",FFD64D,1.00,0,16,70,0,"0, 16, 70, 0",46,100,65,"46, 100%, 65%"
Grey beige,1019,163,140,122,"163, 140, 122",A38C7A,0.64,0,14,25,36,"0, 14, 25, 36",26,18,56,"26, 18%, 56%"
Olive yellow,1020,156,143,97,"156, 143, 97",9C8F61,0.61,0,8,38,39,"0, 8, 38, 39",47,23,50,"47, 23%, 50%"
Rape yellow,1021,252,189,31,"252, 189, 31",FCBD1F,0.99,0,25,88,1,"0, 25, 88, 1",43,97,55,"43, 97%, 55%"
Traffic yellow,1023,252,189,31,"252, 189, 31",FCBD1F,0.99,0,25,88,1,"0, 25, 88, 1",43,97,55,"43, 97%, 55%"
Ochre yellow,1024,181,140,79,"181, 140, 79",B58C4F,0.71,0,23,56,29,"0, 23, 56, 29",36,41,51,"36, 41%, 51%"
Luminous yellow,1026,255,255,10,"255, 255, 10",FFFF0A,1.00,0,0,96,0,"0, 0, 96, 0",60,100,52,"60, 100%, 52%"
Curry,1027,153,117,33,"153, 117, 33",997521,0.60,0,24,78,40,"0, 24, 78, 40",42,65,36,"42, 65%, 36%"
Melon yellow,1028,255,140,26,"255, 140, 26",FF8C1A,1.00,0,45,90,0,"0, 45, 90, 0",30,100,55,"30, 100%, 55%"
Broom yellow,1032,227,163,41,"227, 163, 41",E3A329,0.89,0,28,82,11,"0, 28, 82, 11",39,77,53,"39, 77%, 53%"
Dahlia yellow,1033,255,148,54,"255, 148, 54",FF9436,1.00,0,42,79,0,"0, 42, 79, 0",28,100,61,"28, 100%, 61%"
Pastel yellow,1034,247,153,92,"247, 153, 92",F7995C,0.97,0,38,63,3,"0, 38, 63, 3",24,91,66,"24, 91%, 66%"
Yellow orange,2000,224,94,31,"224, 94, 31",E05E1F,0.88,0,58,86,12,"0, 58, 86, 12",20,76,50,"20, 76%, 50%"
Red orange,2001,186,46,33,"186, 46, 33",BA2E21,0.73,0,75,82,27,"0, 75, 82, 27",5,70,43,"5, 70%, 43%"
Vermilion,2002,204,36,28,"204, 36, 28",CC241C,0.80,0,82,86,20,"0, 82, 86, 20",3,76,45,"3, 76%, 45%"
