description,groups_0_id,groups_0_rgb_r,groups_0_rgb_g,groups_0_rgb_b,groups_1_id,groups_1_rgb_r,groups_1_rgb_g,groups_1_rgb_b,groups_2_id,groups_2_rgb_r,groups_2_rgb_g,groups_2_rgb_b,groups_3_id,groups_3_rgb_r,groups_3_rgb_g,groups_3_rgb_b,groups_4_id,groups_4_rgb_r,groups_4_rgb_g,groups_4_rgb_b,groups_5_id,groups_5_rgb_r,groups_5_rgb_g,groups_5_rgb_b,groups_6_id,groups_6_rgb_r,groups_6_rgb_g,groups_6_rgb_b
,1,230,231,230,2,222,221,213,3,200,198,190,4,198,199,196,5,201,204,198,6,200,200,199,M,160,162,164
,1,237,237,234,2,242,241,236,3,240,238,229,4,233,225,212,5,226,217,198,6,234,225,206,M,143,141,135
,1,242,237,187,2,241,238,195,3,240,238,205,4,248,240,207,5,237,228,188,6,251,229,176,M,171,171,144
,1,250,211,169,2,254,218,166,3,254,227,193,4,253,223,190,5,248,228,200,6,229,210,182,M,176,158,126
,1,247,239,233,2,249,235,227,3,238,225,215,4,251,227,212,5,250,232,220,6,248,223,215,M,171,151,138
,1,227,225,236,2,231,226,232,3,237,232,232,4,238,225,226,5,239,228,224,6,236,228,233,M,173,166,181
,1,199,201,208,2,166,173,189,3,186,200,218,4,206,219,236,5,195,198,214,6,198,197,214,M,167,168,185
,1,174,188,198,2,185,205,221,3,199,219,235,4,201,225,236,5,199,221,225,6,219,233,235,M,150,164,169
,1,165,218,223,2,185,230,242,3,192,222,225,4,189,218,215,5,212,229,231,6,163,193,191,M,146,180,178
,1,207,198,178,2,236,231,210,3,227,228,217,4,214,230,227,5,216,232,224,6,216,233,214,M,165,169,155
,1,102,184,114,2,51,154,81,3,0,111,60,4,127,255,127,5,0,255,0,6,0,128,0,M,0,127,62
,1,187,219,154,2,150,200,108,3,125,179,68,4,95,151,58,5,57,105,56,6,54,92,48,M,98,167,78
,1,220,214,145,2,170,175,102,3,147,151,85,4,126,126,66,5,93,109,60,6,79,109,53,M,98,116,57
,1,238,230,165,2,232,222,111,3,191,183,0,4,164,165,65,5,145,145,56,6,105,101,44,M,174,167,59
,1,243,233,180,2,241,228,131,3,243,212,70,4,232,192,31,5,222,176,45,6,239,180,22,M,184,148,79
,1,255,222,131,2,250,204,57,3,244,189,22,4,235,177,0,5,246,182,0,6,254,196,63,M,203,148,55
,1,253,225,147,2,240,211,145,3,225,190,120,4,214,174,95,5,220,161,64,6,208,151,60,M,178,135,64
,1,216,155,80,2,191,133,59,3,216,169,96,4,204,146,27,5,230,176,62,6,252,171,4,M,184,126,50
,1,245,214,180,2,235,194,151,3,223,171,115,4,208,147,85,5,186,124,67,6,142,91,45,M,184,125,79
,1,210,169,108,2,174,129,81,3,185,134,76,4,160,103,53,5,127,78,46,6,110,68,40,M,185,115,30
,1,168,104,89,2,142,75,53,3,121,78,62,4,92,59,45,5,80,49,42,6,70,50,46,M,139,89,67
,1,190,164,169,2,164,140,146,3,127,84,82,4,104,61,64,5,79,42,45,6,79,43,49,M,83,53,59
,1,157,49,31,2,167,63,50,3,162,71,51,4,129,48,33,5,120,49,34,6,102,50,43,M,88,47,42
,1,224,125,41,2,217,117,30,3,198,98,23,4,183,86,41,5,154,79,44,6,145,80,51,M,164,86,51
,1,255,174,71,2,255,155,56,3,255,144,29,4,230,131,22,5,212,120,31,6,205,108,16,M,180,122,60
,1,255,155,41,2,255,146,4,3,250,132,26,4,226,113,33,5,242,120,47,6,234,106,36,M,167,85,42
,1,235,119,63,2,227,97,37,3,222,84,17,4,216,81,28,5,216,72,15,6,205,94,42,M,191,99,59
,1,237,129,101,2,234,115,79,3,228,100,64,4,220,93,56,5,210,85,53,6,208,93,66,M,171,73,36
,1,237,174,154,2,242,157,134,3,233,138,108,4,228,100,67,5,204,87,56,6,191,80,46,M,157,75,50
,1,242,194,182,2,236,153,139,3,228,128,116,4,221,90,76,5,213,67,60,6,190,58,36,M,168,76,69
,1,202,56,60,2,211,76,73,3,186,60,62,4,155,41,41,5,166,49,41,6,185,53,37,M,155,37,44
,1,244,199,202,2,237,165,170,3,224,122,129,4,200,88,98,5,178,49,47,6,187,32,29,M,167,22,22
,1,239,163,167,2,227,127,137,3,223,99,104,4,211,82,84,5,168,55,59,6,139,27,40,M,174,54,59
,1,240,179,193,2,230,139,157,3,222,115,131,4,202,77,103,5,172,45,76,6,156,34,63,M,177,79,93
,1,245,202,201,2,245,192,190,3,238,186,188,4,238,165,177,5,233,144,158,6,218,108,130,M,168,117,121
