code,scope,color_hex,color_websafe,color_rgb_r,color_rgb_g,color_rgb_b,color_hsl_h,color_hsl_s,color_hsl_l,color_hsb_h,color_hsb_s,color_hsb_b,color_cmyk_c,color_cmyk_m,color_cmyk_y,color_cmyk_k,names_de,names_en,names_fr,names_es,names_it,names_nl
1000,classic,#CDBA88,#cccc99,205,186,136,43,41,67,43,34,80,5,10,40,10,GrÃ¼nbeige,Green beige,Beige vert,Beige verdoso,Beige verdastro,Groenbeige
1001,classic,#D0B084,#cc9999,208,176,132,35,45,67,35,37,82,5,20,40,10,Beige,Beige,Beige,Beige,Beige,Beige
1002,classic,#D2AA6D,#cc9966,210,170,109,36,53,63,36,48,82,5,20,50,10,Sandgelb,Sand yellow,Jaune sable,Amarillo arena,Giallo sabbia,Zandgeel
1003,classic,#F9A800,#ff9900,249,168,0,40,100,49,40,100,98,0,35,100,0,Signalgelb,Signal yellow,Jaune de sÃ©curitÃ©,Amarillo seÃ±ales,Giallo segnale,Signaalgeel
1004,classic,#E49E00,#cc9900,228,158,0,42,100,45,42,100,89,10,35,100,0,Goldgelb,Golden yellow,Jaune or,Amarillo oro,Giallo oro,Goudgeel
1005,classic,#CB8E00,#cc9900,203,142,0,42,100,40,42,100,80,0,30,100,0,Honiggelb,Honey yellow,Jaune miel,Amarillo miel,Giallo miele,Honinggeel
1006,classic,#E29000,#cc9900,226,144,0,38,100,44,38,100,89,0,40,100,0,Maisgelb,Maize yellow,Jaune maÃ¯s,Amarillo maiz,Giallo polenta,Maisgeel
1007,classic,#E88C00,#ff9900,232,140,0,36,100,45,36,100,91,0,50,100,0,Narzissengelb,Daffodil yellow,Jaune narcisse,Amarillo narciso,Giallo narciso,Narcissengeel
1011,classic,#AF804F,#999966,175,128,79,31,38,50,31,55,69,20,40,60,0,Braunbeige,Brown beige,Beige brun,Beige pardo,Beige marrone,Bruinbeige
1012,classic,#DDAF27,#cc9933,221,175,39,45,73,51,45,82,87,5,20,100,0,Zitronengelb,Lemon yellow,Jaune citron,Amarillo limÃ³n,Giallo limone,Citroengeel
1013,classic,#E3D9C6,#cccccc,227,217,198,39,34,83,39,13,89,5,10,20,0,PerlweiÃŸ,Oyster white,Blanc perlÃ©,Blanco perla,Bianco perla,Parelwit
1014,classic,#DDC49A,#cccc99,221,196,154,38,50,74,38,30,87,5,20,50,0,Elfenbein,Ivory,Ivoire,Marfil,Avorio,Ivoorkleurig
1015,classic,#E6D2B5,#ffcccc,230,210,181,36,49,81,36,21,90,5,10,30,0,Hellelfenbein,Light ivory,Ivoire clair,Marfil claro,Avorio chiaro,Licht ivoorkleurig
1016,classic,#F1DD38,#ffcc33,241,221,56,54,87,58,54,77,95,5,0,90,0,Schwefelgelb,Sulfur yellow,Jaune soufre,Amarillo azufre,Giallo zolfo,Zwavelgeel
1017,classic,#F6A950,#ff9966,246,169,80,32,90,64,32,67,96,0,40,100,0,Safrangelb,Saffron yellow,Jaune safran,Amarillo azafrÃ¡n,Giallo zafferano,Saffraangeel
1018,classic,#FACA30,#ffcc33,250,202,48,46,95,58,46,81,98,0,15,100,0,Zinkgelb,Zinc yellow,Jaune zinc,Amarillo de zinc,Giallo zinco,Zinkgeel
1019,classic,#A48F7A,#999966,164,143,122,30,19,56,30,26,64,0,15,40,45,Graubeige,Grey beige,Beige gris,Beige agrisado,Beige grigiastro,Grijsbeige
1020,classic,#A08F65,#999966,160,143,101,43,24,51,43,37,63,30,25,60,20,Olivgelb,Olive yellow,Jaune olive,Amarillo oliva,Giallo olivastro,Olijfgeel
1021,classic,#F6B600,#ffcc00,246,182,0,44,100,48,44,100,96,0,5,100,0,Rapsgelb,Colza yellow,Jaune colza,Amarillo colza,Giallo navone,Koolzaadgeel
1023,classic,#F7B500,#ffcc00,247,181,0,44,100,48,44,100,97,0,25,100,0,Verkehrsgelb,Traffic yellow,Jaune signalisation,Amarillo trÃ¡fico,Giallo traffico,Verkeersgeel
1024,classic,#BA8F4C,#cc9933,186,143,76,37,44,51,37,59,73,5,30,80,30,Ockergelb,Ochre yellow,Jaune ocre,Amarillo ocre,Giallo ocra,Okergeel
1026,classic,#FFFF00,#ffff00,255,255,0,60,100,50,60,100,100,5,0,100,0,Leuchtgelb,Luminous yellow,Jaune brillant,Amarillo brillante,Giallo brillante,Briljantgeel
1027,classic,#A77F0E,#996600,167,127,14,44,85,35,44,92,65,5,10,100,40,Currygelb,Curry,Jaune curry,Amarillo curry,Giallo curry,Kerriegeel
1028,classic,#FF9B00,#ff9900,255,155,0,36,100,50,36,100,100,0,40,100,0,Melonengelb,Melon yellow,Jaune melon,Amarillo melÃ³n,Giallo melone,Meloengeel
1032,classic,#E2A300,#cc9900,226,163,0,43,100,44,43,100,89,15,40,100,0,Ginstergelb,Broom yellow,Jaune genÃªt,Amarillo retama,Giallo scopa,Bremgeel
1033,classic,#F99A1C,#ff9933,249,154,28,34,95,54,34,89,98,0,50,100,0,Dahliengelb,Dahlia yellow,Jaune dahlia,Amarillo dalia,Giallo dahlien,Dahliageel
1034,classic,#EB9C52,#ff9966,235,156,82,29,79,62,29,65,92,0,45,70,0,Pastellgelb,Pastel yellow,Jaune pastel,Amarillo pastel,Giallo pastello,Pastelgeel
1035,classic,#908370,#999966,144,131,112,36,13,50,36,22,56,10,25,40,40,Perlbeige,Pearl beige,Beige nacrÃ©,Beige perlado,Beige perlato,Parelmoer grijs
1036,classic,#80643F,#996633,128,100,63,34,34,37,34,51,50,30,30,50,70,Perlgold,Pearl gold,Or nacrÃ©,Oro perlado,Oro perlato,Parelmoer goud
1037,classic,#F09200,#ff9900,240,146,0,37,100,47,37,100,94,0,45,100,0,Sonnengelb,Sun yellow,Jaune soleil,Amarillo sol,Giallo sole,Zonnegeel
2000,classic,#DA6E00,#cc6600,218,110,0,30,100,43,30,100,85,0,65,100,0,Gelborange,Yellow orange,OrangÃ© jaune,Amarillo naranja,Arancio giallastro,Geeloranje
2001,classic,#BA481B,#cc3333,186,72,27,17,75,42,17,85,73,10,85,100,10,Rotorange,Red orange,OrangÃ© rouge,Rojo anaranjado,Arancio rossastro,Roodoranje
2002,classic,#BF3922,#cc3333,191,57,34,9,70,44,9,82,75,0,90,100,10,Blutorange,Vermilion,OrangÃ© sang,Naranja sanguineo,Arancio sanguigno,Vermiljoen
2003,classic,#F67828,#ff6633,246,120,40,23,92,56,23,84,96,0,70,90,0,Pastellorange,Pastel orange,OrangÃ© pastel,Naranja pÃ¡lido,Arancio pastello,Pasteloranje
2004,classic,#E25303,#cc6600,226,83,3,22,97,45,22,99,89,0,75,100,0,Reinorange,Pure orange,OrangÃ© pur,Naranja puro,Arancio puro,Zuiver oranje
2005,classic,#FF4D06,#ff6600,255,77,6,17,100,51,17,98,100,0,70,100,0,Leuchtorange,Luminous orange,OrangÃ© brillant,Naranja brillante,Arancio brillante,Briljantoranje
2007,classic,#FFB200,#ff9900,255,178,0,42,100,50,42,100,100,0,45,100,0,Leuchthell orange,Luminous bright orange,OrangÃ© clair brillant,Naranja claro brillante,Arancio chiaro brillante,Briljant lichtoranje
2008,classic,#ED6B21,#ff6633,237,107,33,22,85,53,22,86,93,0,65,100,0,Hellrotorange,Bright red orange,OrangÃ© rouge clair,Rojo claro anaranjado,Rosso arancio chiaro,Licht roodoranje
